file_name,start_time,timestamp,sport,sub_sport,distance_km,duration_min,pace_min_km,total_ascent,total_descent,avg_heart_rate,max_heart_rate,min_heart_rate,avg_running_cadence,max_running_cadence,enhanced_avg_speed,enhanced_max_speed,avg_temperature,total_calories,total_strides
469138048383221773.fit,2025-05-19 16:36:55,2025-05-19 17:19:44,running,nan,6.80486,42.819833333333335,6.292537000516298,28.0,16.0,143.0,156,92.0,77.0,82.0,2.649,2.899,22.0,544,3346.0
469185239606919175.fit,2025-05-21 17:25:14,2025-05-21 18:13:19,running,nan,8.91178,48.010666666666665,5.3873262879768875,3.0,3.0,163.0,184,95.0,80.0,86.0,3.094,4.219,23.0,751,3864.0
469247980220743700.fit,2025-05-24 10:04:53,2025-05-24 11:08:12,running,nan,11.00274,63.316,5.754566589776729,139.0,150.0,158.0,177,87.0,79.0,83.0,2.896,3.509,25.0,934,5017.0
469300324327260184.fit,2025-05-26 16:28:42,2025-05-26 17:12:49,running,nan,7.09438,41.963499999999996,5.915034153794975,10.0,11.0,149.0,167,72.0,77.0,83.0,2.818,3.3,25.0,572,3292.0
469347166584864787.fit,2025-05-28 16:34:35,2025-05-28 17:47:03,running,nan,12.316510000000001,72.46983333333333,5.883958469837099,46.0,47.0,155.0,173,78.0,78.0,81.0,2.833,3.356,26.0,1046,5732.0
469440838477316103.fit,2025-06-01 17:47:25,2025-06-01 18:43:00,running,nan,9.610809999999999,55.394666666666666,5.763787512880462,139.0,143.0,150.0,171,98.0,79.0,83.0,2.892,3.788,27.0,756,4382.0
469486054550831122.fit,2025-06-03 16:44:02,2025-06-03 17:26:33,running,nan,7.05823,42.516333333333336,6.023653711105098,24.0,19.0,149.0,162,97.0,79.0,82.0,2.767,3.021,26.0,572,3405.0
469648833006043145.fit,2025-06-10 17:09:19,2025-06-10 17:46:23,running,nan,6.31532,37.07833333333333,5.871172534936208,5.0,6.0,150.0,164,80.0,78.0,82.0,2.839,3.289,29.0,503,2925.0
469812547229351945.fit,2025-06-17 17:30:32,2025-06-17 18:25:49,running,nan,8.76593,52.32783333333334,5.969455988507019,7.0,12.0,145.0,162,68.0,77.0,119.0,2.792,3.115,30.0,676,4139.0
469883609071779841.fit,2025-06-20 19:54:51,2025-06-20 20:53:48,running,nan,10.38015,58.943999999999996,5.678530657071429,9.0,13.0,153.0,180,88.0,78.0,83.0,2.935,4.608,30.0,825,4633.0
469919548552806426.fit,2025-06-22 09:04:39,2025-06-22 10:05:11,running,nan,10.010489999999999,60.528,6.046457266327622,40.0,25.0,160.0,181,95.0,79.0,83.0,2.756,3.448,34.0,913,4771.0
