start_time,timestamp,sport,total_elapsed_time,total_timer_time,total_distance,total_ascent,total_descent,total_calories,total_strides,max_running_cadence,avg_running_cadence,avg_step_length,max_heart_rate,min_heart_rate,avg_heart_rate,enhanced_max_speed,max_speed,enhanced_avg_speed,avg_speed,avg_power,avg_stance_time,avg_stance_time_balance,avg_vertical_oscillation,avg_vertical_ratio,Effort Pace,file_name,sub_sport,max_cadence,avg_cadence,max_power,total_work,normalized_power,avg_temperature
2025-08-17 08:26:09+00:00,2025-08-17 10:11:39+00:00,running,6329.9,6311.49,17198.75,122.0,113.0,1445,8297.0,84.0,78.0,1040.0,178,89,151.0,3.597,3.597,2.725,2.725,219.0,0.0,0.0,0.0,0.0,2.8239998817443848,471218456721653762.fit,,,,,,,31.0
2025-08-23 11:06:51+00:00,2025-08-23 12:06:07+00:00,running,3555.95,3530.21,9600.55,100.0,21.0,858,4686.0,119.0,80.0,1020.0,184,102,157.0,4.444,4.444,2.719,2.719,228.0,0.0,0.0,0.0,0.0,2.940999984741211,471359451371176238.fit,,,,,,,28.0
2025-08-24 08:49:19+00:00,2025-08-24 10:42:20+00:00,running,6781.5,6751.98,18641.16,122.0,118.0,1554,9044.0,88.0,80.0,1040.0,181,90,152.0,4.831,4.831,2.761,2.761,223.0,0.0,0.0,0.0,0.0,2.865000009536743,471381297990762599.fit,,,,,,,27.0
2025-08-26 16:32:49+00:00,2025-08-26 17:31:54+00:00,running,3545.4,3528.26,10242.65,64.0,65.0,811,4622.0,99.0,79.0,1100.0,197,84,154.0,5.952,5.952,2.903,2.903,225.0,0.0,0.0,0.0,0.0,2.9670000076293945,471434278291406949.fit,,,,,,,28.0
2025-08-28 16:11:42+00:00,2025-08-28 17:34:22+00:00,running,4960.41,4911.36,14673.8,138.0,160.0,1124,6346.0,91.0,80.0,1120.0,177,100,153.0,5.102,5.102,2.988,2.988,235.0,0.0,0.0,0.0,0.0,3.1050000190734863,471480702861344873.fit,,,,,,,21.0
2025-08-31 08:11:06+00:00,2025-08-31 10:13:49+00:00,running,7362.35,7321.85,20506.76,41.0,103.0,1547,10022.0,86.0,81.0,1030.0,167,90,147.0,3.247,3.247,2.801,2.801,213.0,0.0,0.0,0.0,0.0,2.7929999828338623,471543189541519768.fit,,,,,,,29.0
2025-09-02 10:11:06+00:00,2025-09-02 11:19:54+00:00,running,4127.61,3606.11,10002.74,54.0,57.0,765,4935.0,87.0,81.0,1020.0,165,87,147.0,3.226,3.226,2.774,2.774,215.0,0.0,0.0,0.0,0.0,2.8239998817443848,471590635239932307.fit,,,,,,,28.0
2025-09-04 10:05:57+00:00,2025-09-04 11:34:55+00:00,running,5338.06,5334.84,15550.71,138.0,133.0,1269,7138.0,91.0,80.0,1090.0,193,95,158.0,5.025,5.025,2.915,2.915,229.0,0.0,0.0,0.0,0.0,3.003000020980835,471637266236735890.fit,,,,,,,25.0
2025-09-11 10:09:04+00:00,2025-09-11 10:52:28+00:00,running,2604.55,2559.87,7408.28,37.0,51.0,522,3526.0,90.0,82.0,1060.0,174,91,144.0,4.63,4.63,2.894,2.894,222.0,0.0,0.0,0.0,0.0,2.931999921798706,471799052279775235.fit,,,,,,,28.0
2025-09-16 05:17:21+00:00,2025-09-16 06:36:34+00:00,running,4752.72,4737.37,14298.75,91.0,129.0,1242,6409.0,87.0,81.0,1120.0,193,85,167.0,3.953,3.953,3.018,3.018,236.0,0.0,0.0,0.0,0.0,3.0480000972747803,471910794443915564.fit,,,,,,,22.0
2025-09-18 05:15:47+00:00,2025-09-18 06:17:58+00:00,running,3730.47,3708.08,10447.32,62.0,109.0,916,4929.0,91.0,80.0,1050.0,193,96,162.0,5.155,5.155,2.817,2.817,218.0,0.0,0.0,0.0,0.0,2.815999984741211,471956857968164869.fit,,,,,,,21.0
2025-09-20 07:53:17+00:00,2025-09-20 09:35:51+00:00,running,6153.17,6144.47,19311.72,59.0,131.0,1612,8342.0,85.0,81.0,1160.0,187,94,167.0,4.184,4.184,3.143,3.143,240.0,0.0,0.0,0.0,0.0,3.134000062942505,472006681205702759.fit,,,,,,,30.0
2025-10-05 05:52:40+00:00,2025-10-05 06:05:48+00:00,running,788.12,470.19,1147.32,0.0,5.0,97,601.0,81.0,77.0,950.0,156,84,144.0,3.215,3.215,2.44,2.44,188.0,0.0,0.0,0.0,0.0,2.4210000038146973,472350940819652811.fit,,,,,,,24.0
